char	count	code	unicode_hex	name	script	cat	bytes	bidi	combining	eaw	mirrored
 	281856468	32	20	SPACE	Common	Zs	1	WS	0	Na	0
a	198452655	97	61	LATIN SMALL LETTER A	Latin	Ll	1	L	0	Na	0
i	112297434	105	69	LATIN SMALL LETTER I	Latin	Ll	1	L	0	Na	0
n	102803166	110	6E	LATIN SMALL LETTER N	Latin	Ll	1	L	0	Na	0
e	100763314	101	65	LATIN SMALL LETTER E	Latin	Ll	1	L	0	Na	0
o	72347122	111	6F	LATIN SMALL LETTER O	Latin	Ll	1	L	0	Na	0
u	63929723	117	75	LATIN SMALL LETTER U	Latin	Ll	1	L	0	Na	0
t	60404650	116	74	LATIN SMALL LETTER T	Latin	Ll	1	L	0	Na	0
m	48792597	109	6D	LATIN SMALL LETTER M	Latin	Ll	1	L	0	Na	0
r	46714868	114	72	LATIN SMALL LETTER R	Latin	Ll	1	L	0	Na	0
s	42817709	115	73	LATIN SMALL LETTER S	Latin	Ll	1	L	0	Na	0
 	42150394	10	A	 CHARACTER TABULATION	Common	Cc	1	B	0	N	0
l	41249637	108	6C	LATIN SMALL LETTER L	Latin	Ll	1	L	0	Na	0
h	40311369	104	68	LATIN SMALL LETTER H	Latin	Ll	1	L	0	Na	0
k	39163424	107	6B	LATIN SMALL LETTER K	Latin	Ll	1	L	0	Na	0
d	31374380	100	64	LATIN SMALL LETTER D	Latin	Ll	1	L	0	Na	0
g	31116075	103	67	LATIN SMALL LETTER G	Latin	Ll	1	L	0	Na	0
y	26100241	121	79	LATIN SMALL LETTER Y	Latin	Ll	1	L	0	Na	0
p	23806220	112	70	LATIN SMALL LETTER P	Latin	Ll	1	L	0	Na	0
b	23138851	98	62	LATIN SMALL LETTER B	Latin	Ll	1	L	0	Na	0
c	21352234	99	63	LATIN SMALL LETTER C	Latin	Ll	1	L	0	Na	0
w	20382996	119	77	LATIN SMALL LETTER W	Latin	Ll	1	L	0	Na	0
 	20265678	44	2C	 CHARACTER TABULATION	Common	Po	1	CS	0	Na	0
.	16797945	46	2E	FULL STOP	Common	Po	1	CS	0	Na	0
j	14098788	106	6A	LATIN SMALL LETTER J	Latin	Ll	1	L	0	Na	0
'	9984881	39	27	APOSTROPHE	Common	Po	1	ON	0	Na	0
v	9381118	118	76	LATIN SMALL LETTER V	Latin	Ll	1	L	0	Na	0
f	7617975	102	66	LATIN SMALL LETTER F	Latin	Ll	1	L	0	Na	0
q	5736518	113	71	LATIN SMALL LETTER Q	Latin	Ll	1	L	0	Na	0
ꞌ	5532633	42892	A78C	LATIN SMALL LETTER SALTILLO	Latin	Ll	3	L	0	N	0
z	5193170	122	7A	LATIN SMALL LETTER Z	Latin	Ll	1	L	0	Na	0
x	5135427	120	78	LATIN SMALL LETTER X	Latin	Ll	1	L	0	Na	0
ɨ	4928520	616	268	LATIN SMALL LETTER I WITH STROKE	Latin	Ll	2	L	0	N	0
A	3996098	65	41	LATIN CAPITAL LETTER A	Latin	Lu	1	L	0	Na	0
á	3819694	225	E1	LATIN SMALL LETTER A WITH ACUTE	Latin	Ll	2	L	0	A	0
-	3556521	45	2D	HYPHEN-MINUS	Common	Pd	1	ES	0	Na	0
ŋ	3514100	331	14B	LATIN SMALL LETTER ENG	Latin	Ll	2	L	0	A	0
̱	3255217	817	331	COMBINING MACRON BELOW	Inherited	Mn	2	NSM	220	A	0
J	2874351	74	4A	LATIN CAPITAL LETTER J	Latin	Lu	1	L	0	Na	0
é	2817508	233	E9	LATIN SMALL LETTER E WITH ACUTE	Latin	Ll	2	L	0	A	0
N	2756946	78	4E	LATIN CAPITAL LETTER N	Latin	Lu	1	L	0	Na	0
M	2751124	77	4D	LATIN CAPITAL LETTER M	Latin	Lu	1	L	0	Na	0
I	2615666	73	49	LATIN CAPITAL LETTER I	Latin	Lu	1	L	0	Na	0
ɛ	2603479	603	25B	LATIN SMALL LETTER OPEN E	Latin	Ll	2	L	0	N	0
T	2452964	84	54	LATIN CAPITAL LETTER T	Latin	Lu	1	L	0	Na	0
í	2308593	237	ED	LATIN SMALL LETTER I WITH ACUTE	Latin	Ll	2	L	0	A	0
َ	2238245	1614	64E	ARABIC FATHA	Inherited	Mn	2	NSM	30	N	0
ा	2110001	2366	93E	DEVANAGARI VOWEL SIGN AA	Devanagari	Mc	3	L	0	N	0
K	2022596	75	4B	LATIN CAPITAL LETTER K	Latin	Lu	1	L	0	Na	0
ë	2016392	235	EB	LATIN SMALL LETTER E WITH DIAERESIS	Latin	Ll	2	L	0	N	0
D	1993595	68	44	LATIN CAPITAL LETTER D	Latin	Lu	1	L	0	Na	0
:	1984898	58	3A	COLON	Common	Po	1	CS	0	Na	0
S	1982402	83	53	LATIN CAPITAL LETTER S	Latin	Lu	1	L	0	Na	0
́	1929071	769	301	COMBINING ACUTE ACCENT	Inherited	Mn	2	NSM	230	A	0
Y	1895124	89	59	LATIN CAPITAL LETTER Y	Latin	Lu	1	L	0	Na	0
ا	1810774	1575	627	ARABIC LETTER ALEF	Arabic	Lo	2	AL	0	N	0
P	1742520	80	50	LATIN CAPITAL LETTER P	Latin	Lu	1	L	0	Na	0
“	1717547	8220	201C	LEFT DOUBLE QUOTATION MARK	Common	Pi	3	ON	0	A	0
ñ	1684045	241	F1	LATIN SMALL LETTER N WITH TILDE	Latin	Ll	2	L	0	N	0
E	1630920	69	45	LATIN CAPITAL LETTER E	Latin	Lu	1	L	0	Na	0
ʉ	1601354	649	289	LATIN SMALL LETTER U BAR	Latin	Ll	2	L	0	N	0
”	1590455	8221	201D	RIGHT DOUBLE QUOTATION MARK	Common	Pf	3	ON	0	A	0
G	1573107	71	47	LATIN CAPITAL LETTER G	Latin	Lu	1	L	0	Na	0
ɔ	1564715	596	254	LATIN SMALL LETTER OPEN O	Latin	Ll	2	L	0	N	0
ä	1515049	228	E4	LATIN SMALL LETTER A WITH DIAERESIS	Latin	Ll	2	L	0	N	0
ã	1502768	227	E3	LATIN SMALL LETTER A WITH TILDE	Latin	Ll	2	L	0	N	0
B	1436866	66	42	LATIN CAPITAL LETTER B	Latin	Lu	1	L	0	Na	0
ú	1385570	250	FA	LATIN SMALL LETTER U WITH ACUTE	Latin	Ll	2	L	0	A	0
ə	1385305	601	259	LATIN SMALL LETTER SCHWA	Latin	Ll	2	L	0	N	0
​	1373140	8203	200B	ZERO WIDTH SPACE	Common	Cf	3	BN	0	N	0
ن	1368008	1606	646	ARABIC LETTER NOON	Arabic	Lo	2	AL	0	N	0
ö	1362133	246	F6	LATIN SMALL LETTER O WITH DIAERESIS	Latin	Ll	2	L	0	N	0
े	1349956	2375	947	DEVANAGARI VOWEL SIGN E	Devanagari	Mn	3	NSM	0	N	0
ɑ	1296051	593	251	LATIN SMALL LETTER ALPHA	Latin	Ll	2	L	0	A	0
ó	1294226	243	F3	LATIN SMALL LETTER O WITH ACUTE	Latin	Ll	2	L	0	A	0
а	1260760	1072	430	CYRILLIC SMALL LETTER A	Cyrillic	Ll	2	L	0	A	0
्	1258788	2381	94D	DEVANAGARI SIGN VIRAMA	Devanagari	Mn	3	NSM	9	N	0
;	1249771	59	3B	SEMICOLON	Common	Po	1	ON	0	Na	0
र	1239233	2352	930	DEVANAGARI LETTER RA	Devanagari	Lo	3	L	0	N	0
H	1222080	72	48	LATIN CAPITAL LETTER H	Latin	Lu	1	L	0	Na	0
ü	1202372	252	FC	LATIN SMALL LETTER U WITH DIAERESIS	Latin	Ll	2	L	0	A	0
³	1177867	179	B3	SUPERSCRIPT THREE	Common	No	2	EN	0	A	0
à	1162135	224	E0	LATIN SMALL LETTER A WITH GRAVE	Latin	Ll	2	L	0	A	0
क	1145126	2325	915	DEVANAGARI LETTER KA	Devanagari	Lo	3	L	0	N	0
?	1143091	63	3F	QUESTION MARK	Common	Po	1	ON	0	Na	0
്	1105713	3405	D4D	MALAYALAM SIGN VIRAMA	Malayalam	Mn	3	NSM	9	N	0
’	1089398	8217	2019	RIGHT SINGLE QUOTATION MARK	Common	Pf	3	ON	0	A	0
̃	1076350	771	303	COMBINING TILDE	Inherited	Mn	2	NSM	230	A	0
C	1070192	67	43	LATIN CAPITAL LETTER C	Latin	Lu	1	L	0	Na	0
L	1067190	76	4C	LATIN CAPITAL LETTER L	Latin	Lu	1	L	0	Na	0
ر	1047835	1585	631	ARABIC LETTER REH	Arabic	Lo	2	AL	0	N	0
и	1047527	1080	438	CYRILLIC SMALL LETTER I	Cyrillic	Ll	2	L	0	A	0
و	1038458	1608	648	ARABIC LETTER WAW	Arabic	Lo	2	AL	0	N	0
न	1027978	2344	928	DEVANAGARI LETTER NA	Devanagari	Lo	3	L	0	N	0
ĩ	1012498	297	129	LATIN SMALL LETTER I WITH TILDE	Latin	Ll	2	L	0	N	0
â	989335	226	E2	LATIN SMALL LETTER A WITH CIRCUMFLEX	Latin	Ll	2	L	0	N	0
်	957491	4154	103A	MYANMAR SIGN ASAT	Myanmar	Mn	3	NSM	9	N	0
ِ	949324	1616	650	ARABIC KASRA	Inherited	Mn	2	NSM	32	N	0
ل	943490	1604	644	ARABIC LETTER LAM	Arabic	Lo	2	AL	0	N	0
म	935597	2350	92E	DEVANAGARI LETTER MA	Devanagari	Lo	3	L	0	N	0
O	891354	79	4F	LATIN CAPITAL LETTER O	Latin	Lu	1	L	0	Na	0
²	886583	178	B2	SUPERSCRIPT TWO	Common	No	2	EN	0	A	0
م	877266	1605	645	ARABIC LETTER MEEM	Arabic	Lo	2	AL	0	N	0
त	805410	2340	924	DEVANAGARI LETTER TA	Devanagari	Lo	3	L	0	N	0
்	788415	3021	BCD	TAMIL SIGN VIRAMA	Tamil	Mn	3	NSM	9	N	0
ی	784547	1740	6CC	ARABIC LETTER FARSI YEH	Arabic	Lo	2	AL	0	N	0
н	774927	1085	43D	CYRILLIC SMALL LETTER EN	Cyrillic	Ll	2	L	0	A	0
ā	750200	257	101	LATIN SMALL LETTER A WITH MACRON	Latin	Ll	2	L	0	A	0
W	745223	87	57	LATIN CAPITAL LETTER W	Latin	Lu	1	L	0	Na	0
е	729837	1077	435	CYRILLIC SMALL LETTER IE	Cyrillic	Ll	2	L	0	A	0
د	728856	1583	62F	ARABIC LETTER DAL	Arabic	Lo	2	AL	0	N	0
è	716455	232	E8	LATIN SMALL LETTER E WITH GRAVE	Latin	Ll	2	L	0	A	0
ە	714806	1749	6D5	ARABIC LETTER AE	Arabic	Lo	2	AL	0	N	0
ह	711568	2361	939	DEVANAGARI LETTER HA	Devanagari	Lo	3	L	0	N	0
स	706976	2360	938	DEVANAGARI LETTER SA	Devanagari	Lo	3	L	0	N	0
ت	701585	1578	62A	ARABIC LETTER TEH	Arabic	Lo	2	AL	0	N	0
̀	699624	768	300	COMBINING GRAVE ACCENT	Inherited	Mn	2	NSM	230	A	0
R	697499	82	52	LATIN CAPITAL LETTER R	Latin	Lu	1	L	0	Na	0
া	692077	2494	9BE	BENGALI VOWEL SIGN AA	Bengali	Mc	3	L	0	N	0
ी	690477	2368	940	DEVANAGARI VOWEL SIGN II	Devanagari	Mc	3	L	0	N	0
о	688896	1086	43E	CYRILLIC SMALL LETTER O	Cyrillic	Ll	2	L	0	A	0
ʼ	687012	700	2BC	MODIFIER LETTER APOSTROPHE	Common	Lm	2	L	0	N	0
ب	680069	1576	628	ARABIC LETTER BEH	Arabic	Lo	2	AL	0	N	0
ल	676149	2354	932	DEVANAGARI LETTER LA	Devanagari	Lo	3	L	0	N	0
ि	675073	2367	93F	DEVANAGARI VOWEL SIGN I	Devanagari	Mc	3	L	0	N	0
ê	673759	234	EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Latin	Ll	2	L	0	A	0
!	671873	33	21	EXCLAMATION MARK	Common	Po	1	ON	0	Na	0
ो	670218	2379	94B	DEVANAGARI VOWEL SIGN O	Devanagari	Mc	3	L	0	N	0
р	644880	1088	440	CYRILLIC SMALL LETTER ER	Cyrillic	Ll	2	L	0	A	0
ْ	628834	1618	652	ARABIC SUKUN	Inherited	Mn	2	NSM	34	N	0
л	622208	1083	43B	CYRILLIC SMALL LETTER EL	Cyrillic	Ll	2	L	0	A	0
ẽ	606742	7869	1EBD	LATIN SMALL LETTER E WITH TILDE	Latin	Ll	3	L	0	N	0
ى	589172	1609	649	ARABIC LETTER ALEF MAKSURA	Arabic	Lo	2	AL	0	N	0
ന	575539	3368	D28	MALAYALAM LETTER NA	Malayalam	Lo	3	L	0	N	0
α	575167	945	3B1	GREEK SMALL LETTER ALPHA	Greek	Ll	2	L	0	A	0
ُ	573979	1615	64F	ARABIC DAMMA	Inherited	Mn	2	NSM	31	N	0
ာ	573127	4140	102C	MYANMAR VOWEL SIGN AA	Myanmar	Mc	3	L	0	N	0
у	550461	1091	443	CYRILLIC SMALL LETTER U	Cyrillic	Ll	2	L	0	A	0
