languageCode,translationId,script,Count - script,dialect,homeDomain,title,description,Redistributable,Copyright,UpdateDate,publicationURL,OTbooks,OTchapters,OTverses,NTbooks,NTchapters,NTverses,DCbooks,DCchapters,DCverses,FCBHID,Certified,inScript,swordName,rodCode,textDirection,downloadable,font,shortTitle,PODISBN,script,sourceDate,licence_ID,licence_File,licence_Language,licence_Dialect,licence_Vernacular_Title,licence_Licence_Type,licence_Licence_Version,licence_CC_Licence_Link,licence_Copyright_Holder,licence_Copyright_Years,licence_Translation_by,licence_date_read,status_download_path,status_download_date,status_unzip_path,status_unzip_date,status_extract_path,status_extract_date,status_extract_renamed_date,status_extract_original_filename,status_last_error,status_inferred_versification,,File exists in scripture folder,MT\Scripture filename,Comparison,,,Files in Scripture Folder
ckb,ckb,Amharic,1,,ebible.org,Biblica® وەشانی بێبەرامبەری کوردیی سۆرانیی ستاندەر,"Kurdish, Central: Biblica® وەشانی بێبەرامبەری کوردیی سۆرانیی ستاندەر (Bible)",True,Copyright © 2020 anonymous,2021-04-09,http://ebible.org/ckb/,39,929,23145,27,260,7958,0,0,0,CKBBIB,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,ckb2020eb,,rtl,True,Amiri,Kurdish Sorani Bible,,Arabic,2021-02-23,ckb,C:\ebible_data\projects\ckb\copr.htm,كوردی سۆرانی (Central Kurdish),,Biblica® وەشانی بێبەرامبەری کوردیی سۆرانیی ستاندەر,by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,,,,2025-05-01,C:\ebible_data\downloads\ckb--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\ckb,2025-05-01,C:\ebible_data\corpus\ckb.txt,2025-05-01,2025-05-10,ckb-ckb.txt,,4,,#N/A,ckb-OKSS.txt,Text of one verse different.,,,acw-HEJ_2024_09_18.txt
gun,gun,Arabic,16,,ebible.org,Nhanderuete ayvu iky'a e'ỹ va'e,"New Testament in Guaraní, Mbyá",True,"Copyright © 2004 Wycliffe Bible Translators, Inc.",2014-08-06,http://ebible.org/gun/,39,929,23144,27,260,7957,0,0,0,GUNWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,gun2004eb,,ltr,True,Gentium,Mbyá Guaraní NT,978-1-5313-0270-2,Latin,2014-08-07,gun,C:\ebible_data\projects\gun\copr.htm,"Mbyá Guaraní (Guaraní, Mbyá)",,Nhanderuete ayvu iky'a e'ỹ va'e,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2004,"Translation by: Wycliffe Bible Translators, Inc.",2025-05-01,C:\ebible_data\downloads\gun--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\gun,2025-05-01,C:\ebible_data\corpus\gun.txt,2025-05-01,2025-05-10,gun-gun.txt,,4,,1628,,Some verses in Psalms different. ,,,akh-akhNT.txt
hin,hin2017,Bengali,5,,ebible.org,इंडियन रिवाइज्ड वर्जन (IRV) हिंदी - 2019,The Indian Revised Version Holy Bible in the Hindi language of India,True,"Copyright © 2017, 2018, 2019 Bridge Connectivity Solutions",2023-04-11,http://ebible.org/hin2017/,39,929,23145,27,260,7959,0,0,0,HINIRV,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,hin2017eb,,ltr,True,FreeSerif,Hindi Indian Revised Version Bible,,Devanagari,2023-04-11,hin2017,C:\ebible_data\projects\hin2017\copr.htm,मानक हिन्दी‎ (Hindi),,इंडियन रिवाइज्ड वर्जन (IRV) हिंदी - 2019,by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,Bridge Connectivity Solutions,"copyright © 2017, 2018, 2019",Translation by: Bridge Connectivity Solutions,2025-05-01,C:\ebible_data\downloads\hin2017--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\hin2017,2025-05-01,C:\ebible_data\corpus\hin2017.txt,2025-05-01,2025-05-10,hin-hin2017.txt,,4,,1727,,"Some verses identical, many differ slightly.",,,alp-TEST_PROJECT_2.txt
cmn,cmn-cu89s,Burmese,1,"Mandarin, simplified script",ebible.org,新标点和合本,Chinese Union Version with New Punctuation (simplified),True,public domain,2021-10-15,http://ebible.org/cmn-cu89s/,39,929,23081,27,260,7940,0,0,0,CHNCU1,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,cmnCUs889eb,6039,ltr,True,Bitstream Cyberbit,Chinese Union Version (simplified),978-1-5313-0157-6,CJK,2020-10-09,cmn-cu89s,C:\ebible_data\projects\cmn-cu89s\copr.htm,,,新标点和合本,Public Domain,,,Public Domain,,,2025-05-01,C:\ebible_data\downloads\cmn-cu89s--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\cmn-cu89s,2025-05-01,C:\ebible_data\corpus\cmn-cu89s.txt,2025-05-01,2025-05-10,cmn-cmn-cu89s.txt,,4,,#N/A,cmn-CUNP89S.txt,Several verses slightly different.,,,acw-Hijazi.txt
ilo,iloulb,CJK,6,,ebible.org,Ti Biblia,Unlocked Literal Bible in the Ilocano language of the Republic of the Philippines,True,Copyright © 2019 Door43 World Missions Community,2024-08-19,http://ebible.org/iloulb/,39,929,23144,27,260,7958,0,0,0,ILOULB,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,iloulb2019eb,,ltr,True,DejaVu Serif,Ilocano Bible,,Latin,2024-08-19,iloulb,C:\ebible_data\projects\iloulb\copr.htm,Ilocano,,Ti Biblia,by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2019,Translation by: Door43 World Missions Community,2025-05-01,C:\ebible_data\downloads\iloulb--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\iloulb,2025-05-01,C:\ebible_data\corpus\iloulb.txt,2025-05-01,2025-05-10,ilo-iloulb.txt,,4,,2041,,One typo diffrerent.,,,am-ABToD_2024_09_16.txt
arb,arbnav,Code for inherited script,1,,ebible.org,Ketab El Hayat Majani/كتاب الحياة مجانى,Biblica® Open New Arabic Version 2012,True,"Copyright © 1988, 1997, 2012 Biblica, Inc.® ح‫قوق الطبع",2025-04-25,http://ebible.org/arbnav/,39,929,23145,27,260,7958,0,0,0,ARZNAV,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,arbnav2012eb,,rtl,True,Amiri,New Arabic Version (Book of Life),,Arabic,2024-04-27,arbnav,C:\ebible_data\projects\arbnav\copr.htm,"العربية (Arabic, Standard)",,كتاب الحياة مجانى,by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,"Biblica, Inc.® ح‫قوق الطبع","copyright © 1988, 1997, 2012",Translation by: Biblica,2025-05-01,C:\ebible_data\downloads\arbnav--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\arbnav,2025-05-01,C:\ebible_data\corpus\arbnav.txt,2025-05-01,2025-05-10,arb-arbnav.txt,,4,,#N/A,arb-NAV.txt,No versification differences. Few verses with different last words.,,,acr-acrC.txt
cuk,cuk,Code for uncoded script,4,,ebible.org,Bab-Dummad-Garda-Islidikid,The Holy Bible in the San Blas Kuna language of Panama,True,"Copyright © 2014 Wycliffe Bible Translators, Inc.",2014-03-31,http://ebible.org/cuk/,39,929,23141,27,260,7959,0,0,0,CUKNVS,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,cuk2014eb,,ltr,True,Gentium,San Blas Kuna Bible,978-1-5313-0182-8,Latin,2015-03-18,cuk,C:\ebible_data\projects\cuk\copr.htm,San Blas Cuna (San Blas Kuna),,Bab-Dummad-Garda-Islidikid,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,"Wycliffe Bible Translators, Inc.",copyright © 2014,"Translation by: Wycliffe Bible Translators, Inc.",2025-05-01,C:\ebible_data\downloads\cuk--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\cuk,2025-05-01,C:\ebible_data\corpus\cuk.txt,2025-05-01,2025-05-10,cuk-cuk.txt,,4,,157,cuk-cuk.txt,No versification differences. Few verses with different last words.,,,acw-v2.txt
aer,aer,Coptic,3,,ebible.org,Angkentye Mwerre,Portions of the Holy Bible in the Central and Eastern Arrente language of Australia,True,Copyright © 2002-2014 Wycliffe Bible Translators,2019-05-14,http://ebible.org/aer/,3,94,2028,27,260,7615,0,0,0,AERWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,aer2014eb,,ltr,True,DejaVu Serif,Eastern Arrente Bible,,Latin,2017-09-26,aer,C:\ebible_data\projects\aer\copr.htm,"Eastern Arrente (Arrernte, Eastern)",,Angkentye Mwerre,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,Wycliffe Bible Translators,copyright © 2002-2014,,2025-05-01,C:\ebible_data\downloads\aer--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\aer,2025-05-01,C:\ebible_data\corpus\aer.txt,2025-05-01,2025-05-10,aer-aer.txt,,4,,381,aer-aer.txt,No versification differences. Few verses different.,,,bdp-BDP_BNDE_2024_10_14.txt
kvg,kvg,Cyrillic,3,Kuni,png.bible,Mbumbukiam-qa Manqat Mbomambaqape,"Ruth, Jonah, and the New Testament in the Kuni dialect of the Kuni-Boazi language of Papua New Guinea",True,Copyright © 2015 Wycliffe Switzerland,2025-04-04,http://png.bible/kvg/,2,8,133,27,260,7934,0,0,0,KVGWBT,True,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,kvg2015eb,,ltr,True,Gentium Plus,Kuni-Boazi Bible,,Latin,2025-04-04,kvg,C:\ebible_data\projects\kvg\copr.htm,Kuni-Boazi,Kuni,,by-nc-nd,4,http://creativecommons.org/licenses/by-nc-nd/4.0/,Wycliffe Switzerland,copyright © 2015,Translation by: Wycliffe Switzerland,2025-05-01,C:\ebible_data\downloads\kvg--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\kvg,2025-05-01,C:\ebible_data\corpus\kvg.txt,2025-05-01,2025-05-10,kvg-kvg.txt,,4,,2403,kvg-kvg.txt,Many orthographic differences. No obvious versification differences.,,,bi-BBR.txt
ceb,cebulb,Devanagari,11,,ebible.org,Balaan nga Bibliya,Unlocked Literal Bible in the Cebuano language of the Republic of the Philippines,True,Copyright © 2019 Door43 World Missions Community,2020-06-08,http://ebible.org/cebulb/,39,929,23145,27,260,7958,0,0,0,CEBULB,False,http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A,cebulb2019eb,,ltr,True,DejaVu Serif,Cebuano Bible,,Latin,2020-06-08,cebulb,C:\ebible_data\projects\cebulb\copr.htm,Cebuano,,Balaan nga Bibliya,by-sa,4,http://creativecommons.org/licenses/by-sa/4.0/,Door43 World Missions Community,copyright © 2019,Translation by: Door43 World Missions Community,2025-05-01,C:\ebible_data\downloads\cebulb--2025-04-11.zip,2025-04-11,C:\ebible_data\projects\cebulb,2025-05-01,C:\ebible_data\corpus\cebulb.txt,2025-05-01,2025-05-10,ceb-cebulb.txt,,4,,717,ceb-cebulb.txt,Identical,,,acw-HEJ_2023_09_05.txt
