file	code	lang	family	country
aai-aai.txt	aai	Miniafia Oyan	Austronesian	Papua New Guinea
aak-aak.txt	aak	Ankave	Trans-New Guinea	Papua New Guinea
aau-aau.txt	aau	Abau	Sepik	Papua New Guinea
aaz-aaz.txt	aaz	Amarasi	Austronesian	Indonesia
abt-abt-maprik.txt	abt	Ambulas	Sepik	Papua New Guinea
abt-abt-wosera.txt	abt	Ambulas	Sepik	Papua New Guinea
abx-abx.txt	abx	Inabaknon	Austronesian	Philippines
aby-aby.txt	aby	Aneme Wake	Trans-New Guinea	Papua New Guinea
acf-acfNT.txt	acf	Lesser Antillean French Creole	Creole	Saint Lucia
acr-acr-acc.txt	acr	Achi	Mayan	Guatemala
acr-acrNNT.txt	acr	Achi	Mayan	Guatemala
acr-acrTNT.txt	acr	Achi	Mayan	Guatemala
acu-acuNT.txt	acu	Achuar-Shiwiar	Jivaroan	Ecuador
adz-adz.txt	adz	Adzera	Austronesian	Papua New Guinea
aer-aer.txt	aer	Arrernte, Eastern	Australian	Australia
aey-aey.txt	aey	Amele	Trans-New Guinea	Papua New Guinea
agd-agd.txt	agd	Agarabi	Trans-New Guinea	Papua New Guinea
agg-agg.txt	agg	Angor	Senagi	Papua New Guinea
agm-agm.txt	agm	Angaataha	Trans-New Guinea	Papua New Guinea
agn-agn.txt	agn	Agutaynen	Austronesian	Philippines
agr-agr.txt	agr	Awajún	Jivaroan	Peru
agt-agt.txt	agt	Agta, Central Cagayan	Austronesian	Philippines
agu-aguBl.txt	agu	Awakateko	Mayan	Guatemala
aia-aia.txt	aia	Arosi	Austronesian	Solomon Islands
aii-aii.txt	aii	Assyrian Neo-Aramaic	Afro-Asiatic	Iraq
aka-aka.txt	aka	Akan	Niger-Congo	Ghana
ake-akeNT.txt	ake	Akawaio	Cariban	Guyana
alp-alpNT.txt	alp	Alune	Austronesian	Indonesia
alq-alqALGNT.txt	alq	Algonquin	Algic	Canada
als-alsSHQ.txt	als	Albanian, Tosk	Indo-European	Albania
aly-aly.txt	aly	Alyawarr	Australian	Australia
ame-ameNT.txt	ame	Yanesha’	Maipurean	Peru
amf-amf.txt	amf	Hamer-Banna	Afro-Asiatic	Ethiopia
amk-amk.txt	amk	Ambai	Austronesian	Indonesia
amm-amm.txt	amm	Sawiyanu	Arai (Left May)	Papua New Guinea
amn-amn-amanab.txt	amn	Amanab	Border	Papua New Guinea
amn-amn-n.txt	amn	Amanab	Border	Papua New Guinea
amo-amo.txt	amo	Amo	Niger-Congo	Nigeria
amp-amp.txt	amp	Alamblak	Sepik	Papua New Guinea
amr-amrNT.txt	amr	Amarakaeri	Harákmbut	Peru
amu-amuNT.txt	amu	Amuzgo, Guerrero	Otomanguean	Mexico
amx-amx.txt	amx	Anmatyerre	Australian	Australia
anh-anh.txt	anh	Nend	Trans-New Guinea	Papua New Guinea
anv-anvNT.txt	anv	Denya	Niger-Congo	Cameroon
aoi-aoi.txt	aoi	Anindilyakwa	Australian	Australia
aoj-aoj-filifita.txt	aoj	Mufian	Torricelli	Papua New Guinea
aoj-aoj.txt	aoj	Mufian	Torricelli	Papua New Guinea
aom-aom.txt	aom	Ömie	Trans-New Guinea	Papua New Guinea
aon-aon.txt	aon	Weri	Torricelli	Papua New Guinea
apb-apb.txt	apb	Sa’a	Austronesian	Solomon Islands
ape-apeB.txt	ape	Bukiyip	Torricelli	Papua New Guinea
ape-apec.txt	ape	Bukiyip	Torricelli	Papua New Guinea
apn-apnNT.txt	apn	Apinayé	Jean	Brazil
apr-apr.txt	apr	Arop-Lokep	Austronesian	Papua New Guinea
apu-apuNT.txt	apu	Apurinã	Maipurean	Brazil
apw-apwNT.txt	apw	Apache, Western	Eyak-Athabaskan	United States
apz-apz.txt	apz	Safeyoka	Trans-New Guinea	Papua New Guinea
arb-arb-vd.txt	arb	Arabic, Standard	Afro-Asiatic	Saudi Arabia
arb-arbnav.txt	arb	Arabic, Standard	Afro-Asiatic	Saudi Arabia
are-are.txt	are	Arrarnta, Western	Australian	Australia
arl-arlNT.txt	arl	Arabela	Zaparoan	Peru
arn-arnNT.txt	arn	Mapudungun	Mapudungu	Chile
arp-arp.txt	arp	Arapaho	Algic	United States
asm-asmfb.txt	asm	Assamese	Indo-European	India
aso-aso.txt	aso	Dano	Trans-New Guinea	Papua New Guinea
ata-ata.txt	ata	Pele-Ata	Yele-West New Britain	Papua New Guinea
atb-atbNT.txt	atb	Zaiwa	Sino-Tibetan	China
atd-atdNT.txt	atd	Manobo, Ata	Austronesian	Philippines
atg-atgNT.txt	atg	Ivbie North-Okpela-Arhe	Niger-Congo	Nigeria
att-att.txt	att	Atta, Pamplona	Austronesian	Philippines
auc-aucNT.txt	auc	Waorani	Language isolate	Ecuador
aui-aui.txt	aui	Anuki	Austronesian	Papua New Guinea
auy-auy.txt	auy	Awiyaana	Trans-New Guinea	Papua New Guinea
avt-avt.txt	avt	Au	Torricelli	Papua New Guinea
awb-awb.txt	awb	Awa	Trans-New Guinea	Papua New Guinea
awk-awk.txt	awk	Awabakal	Australian	Australia
awx-awx.txt	awx	Awara	Trans-New Guinea	Papua New Guinea
azb-azb.txt	azb	Azerbaijani, South	Turkic	Iran, Islamic Republic of
azg-azgNT.txt	azg	Amuzgo, San Pedro Amuzgos	Otomanguean	Mexico
azz-azzNT.txt	azz	Nahuatl, Highland Puebla	Uto-Aztecan	Mexico
bao-baoNT.txt	bao	Waimaha	Tucanoan	Colombia
bba-bba.txt	bba	Baatonum	Niger-Congo	Benin
bbb-bbb.txt	bbb	Barai	Trans-New Guinea	Papua New Guinea
bbr-bbr.txt	bbr	Girawa	Trans-New Guinea	Papua New Guinea
bch-bch.txt	bch	Bariai	Austronesian	Papua New Guinea
bco-bco.txt	bco	Kaluli	Trans-New Guinea	Papua New Guinea
bdd-bdd.txt	bdd	Bunama	Austronesian	Papua New Guinea
bea-bea.txt	bea	Beaver	Eyak-Athabaskan	Canada
bef-bef.txt	bef	Benabena	Trans-New Guinea	Papua New Guinea
bel-bel.txt	bel	Belarusian	Indo-European	Belarus
bel-beln.txt	bel	Belarusian	Indo-European	Belarus
ben-ben2017.txt	ben	Bengali	Indo-European	Bangladesh
beo-beo.txt	beo	Bedamuni	Trans-New Guinea	Papua New Guinea
beu-beu.txt	beu	Blagar	Trans-New Guinea	Indonesia
bgs-bgs.txt	bgs	Tagabawa	Austronesian	Philippines
bgt-bgt.txt	bgt	Bughotu	Austronesian	Solomon Islands
bhg-bhg.txt	bhg	Binandere	Trans-New Guinea	Papua New Guinea
bhl-bhl.txt	bhl	Bimin	Trans-New Guinea	Papua New Guinea
big-big.txt	big	Biangai	Trans-New Guinea	Papua New Guinea
bjk-bjk.txt	bjk	Barok	Austronesian	Papua New Guinea
bjp-bjp.txt	bjp	Fanamaket	Austronesian	Papua New Guinea
bjr-bjr.txt	bjr	Binumarien	Trans-New Guinea	Papua New Guinea
bjv-bjvNT.txt	bjv	Bedjond	Nilo-Saharan	Chad
bjz-bjz.txt	bjz	Baruga	Trans-New Guinea	Papua New Guinea
bkd-bkd.txt	bkd	Binukid	Austronesian	Philippines
bki-bki.txt	bki	Baki	Austronesian	Vanuatu
bkq-bkqNT.txt	bkq	Bakairí	Cariban	Brazil
bkx-bkx.txt	bkx	Baikeno	Austronesian	Timor-Leste
bla-bla.txt	bla	Blackfoot	Algic	Canada
blw-blw.txt	blw	Balangao	Austronesian	Philippines
blz-blzNT.txt	blz	Balantak	Austronesian	Indonesia
bmh-bmh.txt	bmh	Kein	Trans-New Guinea	Papua New Guinea
bmk-bmk.txt	bmk	Ghayavi	Austronesian	Papua New Guinea
bmr-bmrNT.txt	bmr	Muinane	Witotoan	Colombia
bmu-bmu.txt	bmu	Somba-Siawari	Trans-New Guinea	Papua New Guinea
bnp-bnp.txt	bnp	Bola	Austronesian	Papua New Guinea
boa-boaNT.txt	boa	Bora	Witotoan	Peru
boj-boj.txt	boj	Anjam	Trans-New Guinea	Papua New Guinea
boj-boj2014.txt	boj	Anjam	Trans-New Guinea	Papua New Guinea
bon-bon.txt	bon	Bine	Eastern Trans-Fly	Papua New Guinea
box-boxNT.txt	box	Buamu	Niger-Congo	Burkina Faso
bpr-bpr.txt	bpr	Blaan, Koronadal	Austronesian	Philippines
bps-bps.txt	bps	Blaan, Sarangani	Austronesian	Philippines
bqc-bqcsim.txt	bqc	Boko	Niger-Congo	Benin
bqp-bqp.txt	bqp	Bisã	Niger-Congo	Nigeria
bre-breBRG.txt	bre	Breton	Indo-European	France
bsj-bsj.txt	bsj	Bangwinji	Niger-Congo	Nigeria
bsn-bsnNT.txt	bsn	Barasana-Eduria	Tucanoan	Colombia
bsp-bsp.txt	bsp	Baga Sitemu	Niger-Congo	Guinea
bss-bssNT.txt	bss	Akoose	Niger-Congo	Cameroon
buk-buk.txt	buk	Bugawac	Austronesian	Papua New Guinea
bus-bus.txt	bus	Bokobaru	Niger-Congo	Nigeria
bvd-bvd.txt	bvd	Baeggu	Austronesian	Solomon Islands
bvr-bvr.txt	bvr	Burarra	Australian	Australia
bxh-bxh.txt	bxh	Buhutu	Austronesian	Papua New Guinea
byr-byr-w.txt	byr	Yipma	Trans-New Guinea	Papua New Guinea
byr-byr.txt	byr	Yipma	Trans-New Guinea	Papua New Guinea
byx-byx.txt	byx	Qaqet	East New Britain	Papua New Guinea
bzd-bzdNTpo.txt	bzd	Bribri	Chibchan	Costa Rica
bzh-bzh.txt	bzh	Buang, Mapos	Austronesian	Papua New Guinea
bzj-bzj.txt	bzj	Belize English Creole	Creole	Belize
caa-caa.txt	caa	Ch’orti’	Mayan	Guatemala
cab-cabNT.txt	cab	Garifuna	Maipurean	Honduras
cac-cac.txt	cac	Chuj	Mayan	Guatemala
caf-cafNT.txt	caf	Carrier, Southern	Eyak-Athabaskan	Canada
