file	Main Script	alphabet	Common	Latin	Greek	Cyrillic	Armenian	Hebrew	Arabic	Syriac	Thaana	Devanagari	Bengali	Gurmukhi	Gujarati	Oriya	Tamil	Telugu	Kannada	Malayalam	Sinhala	Thai	Lao	Tibetan	Myanmar	Georgian	Hangul	Ethiopic	Cherokee	Canadian_Aboriginal	Ogham	Runic	Khmer	Mongolian	Hiragana	Katakana	Bopomofo	Han	Yi	Old_Italic	Gothic	Deseret	Inherited	Tagalog	Hanunoo	Buhid	Tagbanwa	Limbu	Tai_Le	Linear_B	Ugaritic	Shavian	Osmanya	Cypriot	Braille	Buginese	Coptic	New_Tai_Lue	Glagolitic	Tifinagh	Syloti_Nagri	Old_Persian	Kharoshthi	Balinese	Cuneiform	Phoenician	Phags_Pa	Nko	Sundanese	Lepcha	Ol_Chiki	Vai	Saurashtra	Kayah_Li	Rejang	Lycian	Carian	Lydian	Cham	Tai_Tham	Tai_Viet	Avestan	Egyptian_Hieroglyphs	Samaritan	Lisu	Bamum	Javanese	Meetei_Mayek	Imperial_Aramaic	Old_South_Arabian	Inscriptional_Parthian	Inscriptional_Pahlavi	Old_Turkic	Kaithi	Batak	Brahmi	Mandaic	Chakma	Meroitic_Cursive	Meroitic_Hieroglyphs	Miao	Sharada	Sora_Sompeng	Takri	Unknown
aai-aai.txt	Latin	a intoub rmewshyk’f .gdAJGBN“I”KlvTSORM?Pp!E‘H0cDFYUCLV1z2;WZ4xj()5367q:98Q–-	26	51																																																																																																					
aak-aak.txt	Latin	ɨ ńraáwomeiŋy pxgs.íóuédkt “”GbAJúÁNSj?O‘’EPXK—RWMIBD0ÍŊYT!ƗÉ1425ÓU3:9[]Ú()678-	27	52																																							1																																																														
aau-aau.txt	Latin	 oeakwnymirhs u-p l.HSdGJPt“”UKA?MNEbOgW‘’f0vIYFLB:TDR1j2()4!;536978[]—	28	43																																																																																																					
aaz-aaz.txt	Latin	 anieuosꞌmtrk h fb.p-AIUNMYOK!RjHg“”SlEFd?TPB‘’J:G()LD; y0w[]15237986—c4ZvCW	29	47																																																																																																					
abt-abt-maprik.txt	Latin	 aéknuwdtye imrl.gobps vGWNJKDjY“”MBS?APT’‘RV:ILE0()142O[]53687;!-9	27	40																																																																																																					
abt-abt-wosera.txt	Latin	a nékuwdytm iegrs.lbpv oGWNJYDjK“”M-AT?SPBV‘’R:0Ih()FLEH1f2745O[]6389U!;	27	45																																																																																																					
abx-abx.txt	Latin	a ingsum ok'tpylrd-bh w.eAPDSJK“”MTIN?GBH!E:‘’LcCêYRvFOf;qUzj0x146ZW(9)3ñ2[]5Q	26	52																																																																																																					
aby-aby.txt	Latin	 aieuonrkmw bsdyf.DG YIENgAMFK?SBW()0R!1U2O’4756389t	19	33																																																																																																					
acf-acfNT.txt	Latin	 anéio tskypwlmèud-e v.òzbfjʼhBJcgMS“”KPLIA?rÉNY!TGDOÈF‘’ZW:()0VH—RC4E12][Ò;57639/8	30	53																																																																																																					
acr-acr-acc.txt	Latin	 iacuejhʼn oltrxqmwb ks.py-zID;J—XC:ATíáéQdWKPMYN¿?Rg()“”óSL¡!OvBFEUGúfHZñ	17	57																																																																																																					
acr-acrNNT.txt	Latin	 aiꞌkrue nojclhtqwxbmsyp. zRDJE:—Cú;MdYPNQ»T¿?KáXgWSLA«U“”¡!éóIív-BfHGFOZ()Éñ6ÚÁ	19	61																																																																																																					
acr-acrTNT.txt	Latin	 aicꞌure nojlhtkwxbmsqyp. zRDJEC:—ú;MdYPNK»T¿?áXgWSLA«U“”¡!éóIív-BfHGQFOZ()Éñ6ÚÁ	19	61																																																																																																					
acu-acuNT.txt	Latin	a inutrkmse hjcwp.y gTYAo:J—NíúWéCldá¿?bIMP“S”UEfvK()ó‘’LB0zGqHDRF17Z24¡!O5-6x38Q9V;ñÁ	28	58																																																																																																					
adt-adt.txt	Latin	 a nihurdgtwylkvmp. -NbAeMTSV()UJosBIDY	7	32																																																																																																					
adz-adz.txt	Latin	a ni gurmdꞌsbtp. fzwDyAeYo“k”IGlNMR?SWUB!KhL‘’HT0P1F:E7();5O24—v3-698 ̛	27	43																																							1																																																														
aer-aer.txt	Latin	e rantkhlyigw-m pu. sANJKIoR“”TbUMY!PEcH?dCSL‘’WvB0jz:G1D2Z47xf5O;3F698–q()Q	26	50																																																																																																					
aey-aey.txt	Latin	 aeniucodgl mbqshj.tw fAOEJrk“”IMKSDpUT?HG!CP0‘’BFQL-N:1WR27453698[]()	26	44																																																																																																					
agd-agd.txt	Latin	 animeoár ktuvsyfíbéd.phMúóT Y“B”AKPSIEÍ‘’0OÉD()NFR1U2ÁV!45Ó-3:6978Úx?–‑½	27	46																																																																																																					
agg-agg.txt	Latin	a ɨonmhrdeibu süfyg-ŋk.w ptSARGNŊ“”K?HMP‘’YB!0WFIDTE1:72O456()Ɨ3U89Ü[]	26	44																																																																																																					
