"languageCode","translationId","languageName","languageNameInEnglish","dialect","homeDomain","title","description","Redistributable","Copyright","UpdateDate","publicationURL","OTbooks","OTchapters","OTverses","NTbooks","NTchapters","NTverses","DCbooks","DCchapters","DCverses","FCBHID","Certified","inScript","swordName","rodCode","textDirection","downloadable","font","shortTitle","PODISBN","script","sourceDate"
"aai","aai","Miniafia","Miniafia","","png.bible","TUR GEWASIN O BAIBASIT BOUBUN","The New Testament in the Miniafia Language of Oro Province, Papua New Guinea","True","Copyright © 2009 anonymous","2022-04-14","http://png.bible/aai/","0","0","0","27","260","7955","0","0","0","AAIWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aai2009eb","","ltr","True","Andika","Minaifia NT","978-1-5313-0000-5","Latin","2013-01-05"
"aak","aak","Angave","Ankave","","png.bible","Xwɨyí̵á Gorɨxoyá Sɨŋí̵pɨrɨnɨ","The New Testament in the Ankave language of Papua New Guinea","True","Copyright © 1990 Wycliffe Bible Translators, Inc.","2012-10-03","http://png.bible/aak/","0","0","0","27","260","7786","0","0","0","AAKWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aak1990eb","","ltr","True","Andika","Minaifia NT","978-1-5313-0001-2","Latin","2020-10-09"
"aau","aau","Abau","Abau","","png.bible","God so Sokior-ok Iwon","The New Testament in the Abau Language of the Green River area, Sandaun Province, Papua New Guinea","True","Copyright © 2006 Wycliffe Bible Translators, Inc.","2013-01-03","http://png.bible/aau/","0","0","0","27","260","7934","0","0","0","AAUWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aau2006eb","","ltr","True","Andika","Abau NT","978-1-5313-0002-9","Latin","2020-10-09"
"aaz","aaz","Amarasi","Amarasi","","ebible.org","Uisneno In Kabin ma Prenat: Rais Manba'an Fe'u nok Reta' Ahun-hunut","Genesis and the New Testament in the Amarasi language of Indonesia","True","Copyright © 1999-2014 Unit Bahasa dan Budaya, Kupang NTT, Indonesia","2022-03-11","http://ebible.org/aaz/","1","50","1422","27","260","7663","0","0","0","AAZUBB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aaz2014eb","","ltr","True","DejaVu Serif","Amarasi Bible","978-1-5313-0775-2","Latin","2021-11-30"
"abp","abp","Ayta, Abellen","Ayta, Abellen","","ebible.org","Ayta Abellen","Ayta, Abellen: Ayta Abellen (New Testament+)","False","Copyright © 2020 Wycliffe Bible Translators, Inc.","2020-11-11","http://ebible.org/abp/","0","0","0","27","260","7877","0","0","0","ABPWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","abp2020eb","","ltr","True","DejaVu Serif","Ayta, Abellen: Ayta Abellen (New Testament+)","","Latin","2020-11-12"
"abt","abt-maprik","Ambulas (Maprik)","Ambulas","Maprik","png.bible","Gotna Kudi","The New Testament in the Maprik dialect of the Ambulas Language","True","Copyright © 1983 Wycliffe Bible Translators, Inc.","2013-01-04","http://png.bible/abt-maprik/","0","0","0","27","260","7581","0","0","0","ABTMAP","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","abtM1983eb","00444","ltr","True","Andika","Ambulas Maprik NT","978-1-5313-0003-6","Latin","2020-10-09"
"abt","abt-wosera","Ambulas (Wosera)","Wosera-Kamu dialect of Ambulas","Wosera-Kamu","png.bible","Gotna Kundi","The New Testament in the Wosara-Kamu Dialect of the Ambulas Language of Papua New Guinea","True","Copyright © 1996 Wycliffe Bible Translators, Inc.","2013-01-07","http://png.bible/abt-wosera/","0","0","0","27","260","7580","0","0","0","ABTWOS","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","abtW1996eb","03053","ltr","True","Andika","Ambulas Wosera NT","978-1-5313-0004-3","Latin","2020-10-09"
"abx","abx","Inabaknon","Inabaknon","","ebible.org","I Baha'o Kasuratan","New Testament in Inabaknon","True","Copyright © 1996 Wycliffe Bible Translators, Inc.","2014-08-06","http://ebible.org/abx/","0","0","0","27","260","7910","0","0","0","ABXWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","abx1996eb","","ltr","True","Gentium","Inabaknon NT","978-1-5313-0005-0","Latin","2014-11-05"
"aby","aby","Aneme Wake","Aneme Wake","","png.bible","GODINU IRAU WAKE","The New Testament in the Aneme Wake Language of Papua New Guinea","True","Copyright © 1988 Wycliffe Bible Translators, Inc.","2013-01-07","http://png.bible/aby/","0","0","0","27","260","7072","0","0","0","ABYWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aby1988eb","","ltr","True","Andika","Aneme Wake NT","978-1-5313-0006-7","Latin","2020-10-09"
"aca","aca","Achagua","Achagua","","ebible.org","Liáꞌa Chuánshi Dios Shínaa","Achagua Partial NT [aca] -Colombia 2013","False","Copyright © 2013 Wycliffe Bible Translators, Inc.","2022-03-11","http://ebible.org/aca/","0","0","0","10","121","4410","0","0","0","ACAWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","aca2013eb","","ltr","True","DejaVu Serif","Achagua Partial NT [aca] -Colombia 2013","","Latin","2020-11-11"
"acd","acd","Gikyode","Gikyode","","ebible.org","GɛnÞ PobÞrÞ, Gɛbono Wurubuaarɛ Gi Yɛgɛ Mɔ-rɛ Anyamesɛ Mɛ Wɔra Mɔ","The New Testament in the Gikyode language","False","Copyright © 2020 Wycliffe Bible Translators, Inc.","2020-11-17","http://ebible.org/acd/","0","0","0","27","260","7911","0","0","0","ACDWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","acd2020eb","","ltr","True","DejaVu Serif","The New Testament in the Gikyode language","","Latin","2020-11-17"
"acf","acfNT","Saint Lucian Creole French","Saint Lucian Creole French","","ebible.org","Tèstèman nèf-la: Épi an posyòn an liv samz-la","New Testament in Saint Lucian Creole French (Saint Lucian Creole French New Testament)","True","Copyright © 1999 Wycliffe Bible Translators, Inc.","2014-04-30","http://ebible.org/acfNT/","0","0","0","27","260","7930","0","0","0","ACFWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","acf1999eb","","ltr","True","Gentium","Saint Lucian Creole French NT","978-1-5313-0007-4","Latin","2014-05-01"
"acr","acr-acc","Achi","Achi","Cubulco","ebible.org","I 'utz laj tzij re i dios","New Testament in Achi (I 'utz laj tzij re i dios)","True","Copyright © 2009 Wycliffe Bible Translators, Inc.","2013-01-05","http://ebible.org/acr-acc/","0","0","0","27","260","7930","0","0","0","ACCIBS","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","acrACC2009eb","","ltr","True","Gentium","New Testament in Achi","978-1-5313-0008-1","Latin","2014-04-22"
"acr","acrNNT","Achi","Achi","Rabinal","ebible.org","Ri utzilaj tzij re ri kanimajawal Jesucristo","New Testament in Achi Rabinal; acr (GT:acrN:Achi)","True","Copyright © 2009 Wycliffe Bible Translators, Inc.","2014-04-18","http://ebible.org/acrNNT/","0","0","0","27","260","7958","0","0","0","ACRWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","acrN2009eb","00448","ltr","True","Gentium Plus","Achi Rabinal NT (new orthography)","978-1-5313-0009-8","Latin","2020-10-09"
"acr","acrTNT","Achi","Achi","Rabinal","ebible.org","Ri utzilaj tzij re ri kanimajawal Jesucristo","New Testament in Achi Rabinal; acr (GT:acrT:Achi)","True","Copyright © 2009 Wycliffe Bible Translators, Inc.","2014-04-21","http://ebible.org/acrTNT/","0","0","0","27","260","7958","0","0","0","ACRTNT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","acrTNT2009eb","00448","ltr","True","Gentium Plus","Achi Rabinal NT (traditional orthography)","978-1-5313-0010-4","Latin","2020-10-09"
"acu","acuNT","Achuar-shiwiar","Achuar-shiwiar","","ebible.org","Achuar Peru OT Por and NT 2019 4th edition","Achuar-Shiwiar: Achuar Peru OT Por and NT 2019 4th edition (New Testament+)","True","Copyright © 2019-07-01 Wycliffe Bible Translators, Inc.","2014-04-21","http://ebible.org/acuNT/","20","205","3863","27","260","7646","0","0","0","ACUTBL","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","acuNT2008eb","","ltr","True","Gentium","Achuar-shiwiar Bible","978-1-5313-0011-1","Latin","2014-04-22"
"adj","adj","Adioukrou","Adioukrou","","ebible.org","Amani Owr","Adioukrou: Amani Owr New Testament","False","Copyright © 1998 Wycliffe Bible Translators, Inc.","2020-11-10","http://ebible.org/adj/","0","0","0","27","260","7907","0","0","0","ADJWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","adj1998eb","","ltr","True","DejaVu Serif","Adioukrou: Amani Owr New Testament","","Latin","2020-11-11"
"adt","adt","Adnyamathanha","Adnyamathanha","","ebible.org","Adnyamathanha Christmas Story","A few verses of Scripture from Psalm 23 and Luke 2 in the Adnyamathanha language of Australia","True","Copyright © 2021 Bible Society Australia","2021-11-23","http://ebible.org/adt/","1","1","7","1","1","7","0","0","0","ADTBSA","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","adt2021eb","","ltr","True","DejaVu Serif","Adnyamathanha Christmas Story","","Latin","2021-11-24"
"adz","adz","Adzera","Adzera","","png.bible","Adzera Baibel","Portions of the Holy Bible in the Adzera Language of Papua New Guinea","True","Copyright © 2009-2022 Wycliffe Bible Translators, Inc.","2024-07-13","http://png.bible/adz/","2","54","1537","4","53","2166","0","0","0","ADZPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","adz2009eb","","ltr","True","Andika","Adzera Bible","978-1-5313-0012-8","Latin","2024-07-13"
"aeb","aeb","العهد الجديد بالدارجة التونسية 2022","العهد الجديد بالدارجة التونسية 2022","","ebible.org","العهد الجديد بالدارجة التونسية 2022","Arabic, Tunisian Spoken: العهد الجديد بالعربية التونسية (New Testament)","False","Copyright © 2020 Wycliffe Bible Translators, Inc.","2023-01-06","http://ebible.org/aeb/","0","0","0","27","260","7958","0","0","0","AEBUBS","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","aeb2020eb","","rtl","True","Amiri","Arabic, Tunisian Spoken: العهد الجديد بالعربية التونسية (New Testament)","","Arabic","2023-01-06"
"aer","aer","Eastern Arrente","Arrernte, Eastern","","ebible.org","Angkentye Mwerre","Portions of the Holy Bible in the Central and Eastern Arrente language of Australia","True","Copyright © 2002-2014 Wycliffe Bible Translators","2019-05-14","http://ebible.org/aer/","3","94","2028","27","260","7615","0","0","0","AERWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aer2014eb","","ltr","True","DejaVu Serif","Eastern Arrente Bible","","Latin","2017-09-26"
"aeu","aeu","Gaolkheel","Akeu","","ebible.org","Jalliq aqsivq Gaolkheel daoq","Akeu: Jalliq aqsivq Gaolkheel daoq New Testament","False","Copyright © 2015 Wycliffe Bible Translators, Inc.","2020-11-13","http://ebible.org/aeu/","0","0","0","27","260","7889","0","0","0","AEUWBT","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","aeu2015eb","","ltr","True","DejaVu Serif","Akeu NT","","Latin","2020-11-14"
"aey","aey","Amele","Amele","","png.bible","BAL CEHEC JE HAUN","Genesis and the New Testament in the Amele language of Papua New Guinea","True","Copyright © 1997 Wycliffe Bible Translators, Inc.","1997-01-01","http://png.bible/aey/","1","50","1503","27","260","7583","0","0","0","AEYWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aey1997eb","","ltr","True","Andika","Amele Genesis","978-1-5313-0013-5","Latin","2020-10-09"
"agd","agd","Agarabi","Agarabi","","png.bible","YISASINI KAMA VAYA","The New Testament in the Agarabi language of Papua New Guinea","True","Copyright © 2010 The Bible Society of Papua New Guinea","2013-01-07","http://png.bible/agd/","0","0","0","27","260","7918","0","0","0","AGDWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","agd2010eb","","ltr","True","Andika","Agarabi NT","978-1-5313-0014-2","Latin","2013-01-07"
"agg","agg","Angor","Angor","","png.bible","Godɨndɨ Hoafɨ","The New Testament in the Angor language of Papua New Guinea","True","Copyright © 2001 The Bible Society of Papua New Guinea","2013-01-07","http://png.bible/agg/","0","0","0","27","260","7790","0","0","0","AGGPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","agg2001eb","","ltr","True","Andika","Angor NT","978-1-5313-0015-9","Latin","2020-10-09"
"agm","agm","Angaataha","Angaataha","","png.bible","Autaahaatɨhomɨ Pɨwɨha Gaaha Wanɨha","The New Testament in the Angaataha language of Papua New Guinea","True","Copyright © 2004 Wycliffe Bible Translators, Inc.","2012-11-17","http://png.bible/agm/","0","0","0","27","260","7892","0","0","0","AGMPNG","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","agm2004eb","","ltr","True","Andika","Angaataha NT","978-1-5313-0016-6","Latin","2020-10-09"
"agn","agn","Agutaynen","Agutaynen","","ebible.org","Ang bitala tang Dios: ba-long inigoan; Ang bagong magandang balita: bagong tipan","New Testament in Agutaynen","True","Copyright © 2004 Wycliffe Bible Translators, Inc.","2014-08-06","http://ebible.org/agn/","0","0","0","27","260","7939","0","0","0","AGNWPS","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","agn2004eb","","ltr","True","Gentium","Agutaynen NT","978-1-5313-0017-3","Latin","2014-07-29"
"agr","agr","Aguaruna","Aguaruna","","ebible.org","Awajún [Aguaruna]","Aguaruna: Awajún [Aguaruna] (Bible)","True","Copyright © 2020 Wycliffe Bible Translators, Inc.","2015-03-17","http://ebible.org/agr/","30","410","9004","27","260","7946","0","0","0","AGRWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","agr2020eb","","ltr","True","DejaVu Serif","Aguaruna Bible","978-1-5313-0018-0","Latin","2015-03-18"
"agt","agt","Central Cagayan Agta","Agta, Central Cagayan","","ebible.org","Uhohug na Namaratu gafu te Hesus Kristu","New Testament in Agta, Central Cagayan","True","Copyright © 1992 Wycliffe Bible Translators, Inc.","2015-03-17","http://ebible.org/agt/","0","0","0","27","260","7602","0","0","0","AGTWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","agt1992eb","","ltr","True","Gentium","Central Cagayan Agta","978-1-5313-0020-3","Latin","2015-03-18"
"agu","aguBl","Aguacateco","Aguacateco","","ebible.org","Yi Antiw Bible / Yi Ac'aj Testament","Bible in Aguacateco (GT:agu:Aguacateco)","True","Copyright © 2011 Wycliffe Bible Translators, Inc.","2014-04-21","http://ebible.org/aguBl/","26","514","12008","27","260","7935","0","0","0","AGUNVS","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","agu2011eb","","ltr","True","Gentium","Aguacateco Bible","978-1-5313-0021-0","Latin","2014-04-22"
"ahr","ahr","अहिराणी‎","Ahirani","","ebible.org","प्रेम संदेश","The Gospels of Matthew and Mark in the Ahirani language of India. Ahirani: प्रेम संदेश (Bible)","True","Copyright © 2023 The Word for the World International","2023-04-07","http://ebible.org/ahr/","0","0","0","2","44","1749","0","0","0","AHRTWF","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","ahr2023eb","","ltr","True","Akshar Unicode","Ahirani Matthew and Mark","","Latin","2023-04-07"
"aia","aia","Arosi","Arosi","","ebible.org","Taroha Goro mana Usuusu Maea","The New Testament in the Arosi language of the Solomon Islands","True","Copyright © 2005 Wycliffe Bible Translators, Inc.","2017-11-09","http://ebible.org/aia/","0","0","0","27","260","7836","0","0","0","AIAWBT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aia2005eb","","ltr","True","DejaVu Serif","Arosi New Testament","","Latin","2021-11-30"
"aii","aii","ܐܵܬ݂ܘܼܪܵܝܲܐ ܠܸܫܵܢܵܐ","Assyrian Neo-Aramaic","","ebible.org","ܕܝܬܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ ܘܡܙܡܘܪ̈ܐ ܒܠܫܢܐ ܐܬܘܪܝܐ","New Testament and Psalms in Assyrian","True","Copyright © 2014 Aramaic Bible Translation, Inc.","2014-08-06","http://ebible.org/aii/","1","150","2461","27","260","7959","0","0","0","AIIABT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aii2014eb","","rtl","True","Estrangelo Edessa","Assyrian Neo-Aramaic NT+Psalms","978-1-5313-0022-7","Syriac","2014-07-29"
"twi","aka","Asante Twi","Twi","Asante","ebible.org","Biblica® Wonhia ɛho kwamma nhoma Asante Twi Nkwa Asɛm™","Twi: Biblica® Wonhia ɛho kwamma nhoma Asante Twi Nkwa Asɛm™ (Bible)","True","Copyright © 2020 Biblica, Inc.","2021-06-30","http://ebible.org/aka/","39","929","23142","27","260","7958","0","0","0","AKABIB","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","aka2020eb","02272","ltr","True","DejaVu Serif","Asante Twi Bible","","Latin","2021-04-13"
